# ----------------------------------------
# Curious
# Curious Data Export MASTER-Free-form 1
# 20250127-20250130
# ----------------------------------------

Date + hour (YYYYMMDDHH),Landing page + query string,Page title,Session source,Browser,Views,Views per session,Views per active user,Average engagement time per session
2025012814,/2054/index.html?EID=O1&OID=141A,Scan a QR code to start,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012814,/2054/index.html?EID=O1&OID=141A,Scan to Start | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,2
2025012815,/2054/index.html?EID=O1&OID=141A,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012815,/2054/index.html?EID=O1&OID=141A,Explore: Pengiuns,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,16
2025012815,/2054/index.html?EID=O1&OID=141A,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,7
2025012815,/2054/index.html?EID=O1&OID=141A,Profile: Squash,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,13
2025012816,/2054/capture.html,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012816,/2054/capture.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,4,4,4,31
2025012816,/2054/capture.html,Explore: Royals,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,2
2025012816,/2054/capture.html,Scan a QR code to start,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,2,2,2,0
2025012816,/2054/capture.html,Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,147
2025012820,/2054/portal.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012900,/2054/portal.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012908,/2054/portal.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012915,/2054/portal.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,2,2,2,6
2025012915,/2054/portal.html,Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012916,/2054/capture.html,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,3,3,3,0
2025012916,/2054/capture.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,7
2025012916,/2054/capture.html,Explore: Rockpools,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,2
2025012916,/2054/capture.html,Scan a QR code to start,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012916,/2054/capture.html,Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,1
2025012917,/2054/index.html?EID=S3,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,2,2,2,0
